problem,constraint,percentile,optimized_configuration,duration_avg,duration_median,duration_percentile10,duration_percentile90,cost_avg,cost_median,cost_percentile10,cost_percentile90
BCPC,15853.789244588745,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14526.124392999998,11288.97,11012.119999999999,22014.25,59.310984330000004,50.791799999999995,49.125099999999996,86.17530000000001
BCPC,16081.867686724385,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 512}",15375.404902,12184.265,11908.768999999998,22805.499,59.15545667,50.791799999999995,49.125099999999996,85.9669
BCPC,16309.946128860029,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14493.978859,11292.23,11015.070999999998,21945.580000000005,59.155918539999995,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,16538.02457099567,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14446.933319999998,11285.395,11012.238999999998,21961.190000000006,59.0813095,50.791799999999995,49.125099999999996,85.96691000000001
BCPC,16766.103013131313,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14532.639848000003,11292.99,11012.319999999998,21955.508,59.259133889999994,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,16994.181455266953,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14529.155604000001,11292.15,11014.81,22008.051000000003,59.28468757999999,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,17222.259897402597,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14507.313328,11284.125,11009.533,22057.519000000004,59.231113939999986,50.791799999999995,49.125099999999996,86.1753
BCPC,17450.338339538237,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14525.464934,11292.384999999998,11013.629,21981.901,59.27274890000001,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,17678.41678167388,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14498.384928,11288.535,11014.199999999999,22062.395999999997,59.17561281,50.791799999999995,49.125099999999996,86.17519999999999
BCPC,17906.49522380952,,"{'f1': 512, 'f2': 128, 'f3': 512, 'f4': 128, 'f5': 128, 'f6': 1088}",14523.976747,11284.529999999999,11009.548999999999,21921.474000000002,59.272291759999995,50.791799999999995,49.125099999999996,86.17519999999999
