,scheduling_overhead
751,19.00005340576172
752,17.999887466430664
753,19.00005340576172
754,0.0
755,0.0
756,14.999866485595703
757,20.999908447265625
758,0.0
759,0.0
760,0.0
761,25.00009536743164
762,0.0
763,22.00007438659668
764,0.0
765,0.0
766,19.999980926513672
767,19.00005340576172
768,0.0
769,0.0
770,0.0
771,13.000011444091797
772,0.0
773,0.0
774,0.0
775,0.0
776,0.0
777,0.0
778,26.999950408935547
779,0.0
780,0.0
781,0.0
782,0.0
783,0.0
784,0.0
785,11.999845504760742
786,0.0
787,0.0
788,23.000001907348633
789,0.0
790,20.999908447265625
791,23.999929428100586
792,0.0
793,0.0
794,20.000219345092773
795,18.999814987182617
796,0.0
797,23.999929428100586
798,16.99995994567871
799,0.0
800,20.999908447265625
801,0.0
802,0.0
803,19.999980926513672
804,0.0
805,0.0
806,0.0
807,0.0
808,0.0
809,0.0
810,27.00018882751465
811,20.999908447265625
812,19.999980926513672
813,0.0
814,0.0
815,24.99985694885254
816,21.000146865844727
817,0.0
818,0.0
819,0.0
820,20.999908447265625
821,0.0
822,32.99999237060547
823,17.999887466430664
824,22.00007438659668
825,22.00007438659668
826,0.0
827,16.000032424926758
828,0.0
829,0.0
830,0.0
831,0.0
832,0.0
833,19.999980926513672
834,0.0
835,0.0
836,0.0
837,0.0
838,17.000198364257812
839,26.000022888183594
840,0.0
841,0.0
842,0.0
843,0.0
844,21.999835968017578
845,21.000146865844727
846,27.9998779296875
847,0.0
848,0.9999275207519531
849,26.999950408935547
850,0.0
851,0.0
852,0.0
853,24.000167846679688
854,19.00005340576172
855,19.999980926513672
856,20.999908447265625
857,0.0
858,14.999866485595703
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,16.99995994567871
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,21.999835968017578
874,19.00005340576172
875,18.000125885009766
876,0.0
877,0.0
878,0.0
879,0.0
880,20.000219345092773
881,0.0
882,0.0
883,19.999980926513672
884,0.0
885,16.99995994567871
886,0.0
887,0.0
888,23.000001907348633
889,0.0
890,26.000022888183594
891,0.0
892,26.999950408935547
893,21.999835968017578
894,0.0
895,0.0
896,29.000043869018555
897,23.999929428100586
898,0.0
899,19.00005340576172
900,0.0
901,0.0
902,22.00007438659668
903,23.999929428100586
904,0.0
905,0.0
906,23.999929428100586
907,0.0
908,0.0
909,0.0
910,0.0
911,19.999980926513672
912,16.99995994567871
913,0.0
914,16.99995994567871
915,0.0
916,26.999950408935547
917,0.0
918,0.0
919,0.0
920,0.9999275207519531
921,0.0
922,20.999908447265625
923,0.0
924,0.0
925,0.0
926,0.0
927,23.999929428100586
928,24.000167846679688
929,13.99993896484375
930,0.0
